"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008083","growth factor activity","2/19","110/12646",0.0181818181818182,12.1014354066986,4.53609471604926,0.0116413988971292,0.129311250405562,0.0926754762145124,"3574/656",2
"GO:0051087","protein-folding chaperone binding","2/19","115/12646",0.0173913043478261,11.5752860411899,4.41910484310184,0.0126722366914637,0.129311250405562,0.0926754762145124,"5203/57600",2
"GO:0030957","Tat protein binding","1/19","10/12646",0.1,66.5578947368421,8.04463449869934,0.014928615544813,0.129311250405562,0.0926754762145124,"29969",1
"GO:0044548","S100 protein binding","1/19","12/12646",0.0833333333333333,55.4649122807018,7.32188869072532,0.0178888916624884,0.129311250405562,0.0926754762145124,"27101",1
"GO:0031386","protein tag activity","1/19","13/12646",0.0769230769230769,51.1983805668016,7.02415783773117,0.0193658673676028,0.129311250405562,0.0926754762145124,"6233",1
"GO:0141047","molecular tag activity","1/19","13/12646",0.0769230769230769,51.1983805668016,7.02415783773117,0.0193658673676028,0.129311250405562,0.0926754762145124,"6233",1
"GO:0005125","cytokine activity","2/19","163/12646",0.0122699386503067,8.16661285114627,3.57218866471457,0.0244569527591377,0.129311250405562,0.0926754762145124,"3574/656",2
"GO:0008143","poly(A) binding","1/19","21/12646",0.0476190476190476,31.6942355889724,5.46055647650506,0.0311061501269383,0.129311250405562,0.0926754762145124,"8761",1
"GO:0005501","retinoid binding","1/19","22/12646",0.0454545454545455,30.2535885167464,5.32694389688198,0.0325642874059556,0.129311250405562,0.0926754762145124,"5730",1
"GO:0019840","isoprenoid binding","1/19","23/12646",0.0434782608695652,28.9382151029748,5.20196481925755,0.0340203455918937,0.129311250405562,0.0926754762145124,"5730",1
"GO:0008266","poly(U) RNA binding","1/19","24/12646",0.0416666666666667,27.7324561403509,5.08471391566707,0.0354743274847682,0.129311250405562,0.0926754762145124,"8761",1
"GO:0030332","cyclin binding","1/19","25/12646",0.04,26.6231578947368,4.97441370070168,0.0369262358810438,0.129311250405562,0.0926754762145124,"29969",1
"GO:0008187","poly-pyrimidine tract binding","1/19","27/12646",0.037037037037037,24.6510721247563,4.77206523004505,0.0398238433519367,0.129311250405562,0.0926754762145124,"8761",1
"GO:0070717","poly-purine tract binding","1/19","27/12646",0.037037037037037,24.6510721247563,4.77206523004505,0.0398238433519367,0.129311250405562,0.0926754762145124,"8761",1
"GO:0030515","snoRNA binding","1/19","28/12646",0.0357142857142857,23.7706766917293,4.67892213906195,0.0412695480017751,0.129311250405562,0.0926754762145124,"11163",1
"GO:0005504","fatty acid binding","1/19","35/12646",0.0285714285714286,19.0165413533835,4.14015698900059,0.0513318902237997,0.150787427532412,0.108067137313263,"5730",1
"GO:0016860","intramolecular oxidoreductase activity","1/19","38/12646",0.0263157894736842,17.5152354570637,3.95493723036008,0.0556136227999091,0.153755310093866,0.11019417520725,"5730",1
"GO:0031625","ubiquitin protein ligase binding","2/19","274/12646",0.0072992700729927,4.8582404917403,2.50455600447874,0.0627948397485007,0.158618134370625,0.113679290030459,"27101/6233",2
"GO:0060590","ATPase regulator activity","1/19","44/12646",0.0227272727272727,15.1267942583732,3.64113136614513,0.064122224532806,0.158618134370625,0.113679290030459,"57600",1
"GO:0044389","ubiquitin-like protein ligase binding","2/19","291/12646",0.00687285223367698,4.57442575510942,2.39286130853084,0.0697896152185714,0.164005595763643,0.117540404578647,"27101/6233",2
"GO:0033293","monocarboxylic acid binding","1/19","56/12646",0.0178571428571429,11.8853383458647,3.16671666939327,0.0809220361219061,0.181111223701409,0.12979975718802,"5730",1
"GO:0003823","antigen binding","1/19","69/12646",0.0144927536231884,9.64607170099161,2.7934504659626,0.0987992681055405,0.199105759538301,0.142696177048727,"3514",1
"GO:0048018","receptor ligand activity","2/19","370/12646",0.00540540540540541,3.5977240398293,1.96721380156355,0.10533437982546,0.199105759538301,0.142696177048727,"3574/656",2
"GO:0003727","single-stranded RNA binding","1/19","75/12646",0.0133333333333333,8.87438596491228,2.65306899092352,0.106938723283759,0.199105759538301,0.142696177048727,"8761",1
"GO:0001540","amyloid-beta binding","1/19","76/12646",0.0131578947368421,8.75761772853186,2.63119878225784,0.108288509637877,0.199105759538301,0.142696177048727,"5203",1
"GO:0030546","signaling receptor activator activity","2/19","380/12646",0.00526315789473684,3.50304709141274,1.92174369800984,0.110143611659486,0.199105759538301,0.142696177048727,"3574/656",2
